,ATRACADOS Unnamed: 0_level_1,ATRACADOS Programação,ATRACADOS DUV,ATRACADOS Berço,ATRACADOS Embarcação,ATRACADOS IMO,ATRACADOS LOA,ATRACADOS DWT,ATRACADOS Bordo,ATRACADOS Sentido,ATRACADOS Agência,ATRACADOS Operador,ATRACADOS Mercadoria,ATRACADOS Atracação,ATRACADOS Chegada,ATRACADOS Janela Operacional,ATRACADOS Prancha (t/dia),ATRACADOS Tons/Dia,ATRACADOS Previsto,ATRACADOS Realizado,ATRACADOS Saldo Operador,ATRACADOS Saldo Total
0,1,77505,409462025,141,SHAMAL,9391476,18290,"64.834,00",BB,Imp,LACHMANN,PETROBRAS TRANSPORTE S.A - TRANSPETRO,OLEO DIESEL,13/09/2025 15:20,12/09/2025 16:00,13/09/2025 15:20 - 16/09/2025 23:20,"15.000,000","0,000 Tons.","50.000,000 Tons.","0,000 Tons.","50.000,000 Tons.","50.000,000 Tons."
1,2,77306,382162025,215,PALENA,9306196,30412,"81.247,00",BB,Imp/Exp,ROCHAMAR,TCP (GS1),CONTÊINERES (CONTENTORES) INCL,13/09/2025 06:05,12/09/2025 11:54,,0,0 Movs.,1.050 Movs.,0 Movs.,1.050 Movs.,1.050 Movs.
2,3,77425,326742025,216,MAERSK LA PAZ,9526899,29990,"106.043,00",BB,Imp/Exp,LACHMANN,TCP (SCN),CONTÊINERES (CONTENTORES) INCL,13/09/2025 00:48,12/09/2025 09:30,,0,0 Movs.,600 Movs.,0 Movs.,600 Movs.,600 Movs.
3,4,77503,405522025,218,MSC MELINE,9702077,29995,"127.447,00",BB,Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP (WME),CONTÊINERES (CONTENTORES) INCL,12/09/2025 18:30,11/09/2025 19:00,,0,0 Movs.,1.400 Movs.,0 Movs.,1.400 Movs.,1.400 Movs.
4,5,77389,396322025,201,MAJORCA,9294109,22500,"74.332,63",BE,Exp,CARGONAVE,TIBAGI,MILHO,13/09/2025 07:35,10/09/2025 14:00,13/09/2025 07:35 - 16/09/2025 04:18,"24.000,000","0,000 Tons.","64.350,000 Tons.","3.350,000 Tons.","61.000,360 Tons.","61.000,360 Tons."
5,6,77545,419342025,143,PAG,9440514,18300,"49.990,00",BB,Imp,WILSON SONS,CATTALINI,GASOLINAS,11/09/2025 09:35,10/09/2025 07:00,11/09/2025 09:35 - 13/09/2025 01:14,"15.000,000","8.970,000 Tons.","22.653,000 Tons.","15.640,000 Tons.","7.013,000 Tons.","7.013,000 Tons."
6,7,77469,400992025,142,HIGH ADVENTURER,9788435,18250,"49.997,00",BE,Imp,GAC LOGISTICA DO BRASIL,TERIN,OLEO DIESEL,12/09/2025 06:09,09/09/2025 16:36,12/09/2025 06:09 - 13/09/2025 23:06,"15.000,000","13.991,000 Tons.","21.844,000 Tons.","18.955,000 Tons.","2.889,200 Tons.","2.889,200 Tons."
7,8,77485,408622025,212,PUMA MAX,9589152,22902,"81.339,00",BB,Exp,WILSON SONS,TIBAGI,FARELO DE SOJA,13/09/2025 14:49,08/09/2025 08:50,,,"0,000 Tons.","62.000,000 Tons.",Tons.,Tons.,"0,000 Tons."
8,9,77360,395932025,213,NEWPORT,9966843,19990,"64.701,00",BB,Exp,CARGILL AGRICOLA,TIBAGI,MILHO,12/09/2025 03:20,20/08/2025 09:12,12/09/2025 03:20 - 13/09/2025 21:13,"44.544,000","45.919,000 Tons.","60.000,000 Tons.","56.451,000 Tons.","3.549,260 Tons.","3.549,260 Tons."
9,10,77259,372612025,204,CAPTAIN MIKE,9296846,22900,"87.052,00",BB,Exp,CARGONAVE,CEU AZUL,MILHO,12/09/2025 04:40,30/08/2025 07:10,12/09/2025 04:40 - 15/09/2025 16:33,"24.000,000","51.296,000 Tons.","75.572,000 Tons.","56.963,000 Tons.","18.608,580 Tons.","18.608,580 Tons."
10,11,77396,399122025,113,LADY ZANDAVI,9573969,16937,"28.374,00",BB,Exp,WILLIAMS,PORTO PONTA DO FELIX S/A,OUTS.ACUCARES,06/09/2025 16:12,29/08/2025 15:20,06/09/2025 16:12 - 16/09/2025 09:45,"2.200,000","1.877,000 Tons.","17.051,000 Tons.","9.937,000 Tons.","7.113,870 Tons.","7.113,870 Tons."
11,12,77209,363932025,211,AGIA FOTINI,9544164,18475,"38.140,00",BE,Imp,FORTENAVE,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,CLORETOS DE POTASSIO,12/09/2025 15:55,14/08/2025 02:20,,,"0,000 Tons.","8.337,000 Tons.","0,000 Tons.","8.337,000 Tons.","30.369,450 Tons."
12,12,77209,363932025,211,AGIA FOTINI,9544164,18475,"38.140,00",BE,Imp,FORTENAVE,HARBOR,CLORETOS DE POTASSIO,12/09/2025 15:55,14/08/2025 02:20,12/09/2025 15:55 - 16/09/2025 11:23,"7.691,320","4.136,000 Tons.","27.775,000 Tons.","5.743,000 Tons.","22.032,450 Tons.","30.369,450 Tons."
13,13,77253,375252025,202,VALERIO,9244037,16550,"27.112,00",BE,Exp,FORTENAVE,FORTEPAR OPERAÇÕES PORTUÁRIAS S.A.,AÇÚCAR,04/09/2025 01:40,13/08/2025 03:30,04/09/2025 01:40 - 14/09/2025 02:49,"4.000,000","4.185,000 Tons.","26.009,000 Tons.","19.903,000 Tons.","6.106,340 Tons.","6.106,340 Tons."
14,14,77082,346982025,208,MERLIN,9604847,18300,"38.468,00",BE,Imp,AGENCIA MARITIMA NAABSA,FORTESOLO,UREIA,12/09/2025 12:40,03/08/2025 15:30,12/09/2025 12:40 - 17/09/2025 21:39,"3.562,832","3.013,000 Tons.","18.195,000 Tons.","5.422,000 Tons.","12.772,920 Tons.","23.698,740 Tons."
15,14,77082,346982025,208,MERLIN,9604847,18300,"38.468,00",BE,Imp,AGENCIA MARITIMA NAABSA,HARBOR,UREIA,12/09/2025 12:40,03/08/2025 15:30,12/09/2025 12:40 - 17/09/2025 18:49,"2.937,162","2.518,000 Tons.","15.000,000 Tons.","4.074,000 Tons.","10.925,820 Tons.","23.698,740 Tons."
16,15,76879,345952025,209,PAN CERES,9582465,22899,"82.158,00",BB,Imp,ZPORT,FORTESOLO,SULFATO DE AMONIO,10/09/2025 03:15,31/07/2025 04:30,10/09/2025 03:15 - 19/09/2025 09:21,"3.051,072","4.629,000 Tons.","26.520,000 Tons.","22.715,000 Tons.","3.804,680 Tons.","27.529,740 Tons."
17,15,76879,345952025,209,PAN CERES,9582465,22899,"82.158,00",BB,Imp,ZPORT,HARBOR,SULFATO DE AMONIO,10/09/2025 03:15,31/07/2025 04:30,10/09/2025 03:15 - 19/09/2025 05:23,"4.948,920","7.413,000 Tons.","43.013,000 Tons.","19.288,000 Tons.","23.725,060 Tons.","27.529,740 Tons."
